objectid,filename,youtubeid,vimeoid,title,creator,date,location,format,latitude,longitude,source,subject
Hamlet_1919,,,,Oh'Phelia,Anson Dyer,1919,UK,MovingImage,,,Wikipedia,Hamlet;Silent;Loose/Inspired;Drama/Tragedy;Animated;
Hamlet_1942,,,,To Be or Not To Be,Ernst Lubitsch,1942,USA,MovingImage,,,Wikipedia,Hamlet;Feature;Loose/Inspired;Drama/Comedy;Black Comedy;Carole Lombard;Jack Benny;Robert Stack;Felix Bressart;Lionel Atwill;Stanley Ridges;Sig Ruman
Hamlet_1960,,,,The Bad Sleep Well (悪い奴ほどよく眠る),Akira Kurosawa,1960,Japan,MovingImage,,,Wikipedia,Hamlet;Feature;Loose/Inspired;Drama/Tragedy;Mystery;Film Noir;Neo-Noir;Crime;Modernized; Business;Toshiro Mifune;Masayuki Mori;Kyōko Kagawa;Tatsuya Mihashi;Takashi Shimura;Kō Nishimura;Takeshi Katō;Kamatari Fujiwara
Hamlet_1974,,,,A Performance of Hamlet in the Village of Mrdusa Donja (aka Predstava Hamleta u Mrduši Donjoj),Krsto Papić,1974,Yugoslavia,MovingImage,,,Wikipedia,Hamlet;Feature;Loose/Inspired;Drama/Political;Satire;Black Comedy;Rade Šerbedžija;Milena Dravić;Krešimir Zidarić;Fabijan Šovagović;Ljubiša Samardžić;Mate Ergović;Zvonko Lepetić
Hamlet_1977,,,,The Angel of Vengeance - The Female Hamlet,Metin Erksan,1977,Turkey,MovingImage,,,Wikipedia,Hamlet;Feature;Loose/Inspired;Drama/Tragedy;Avant-garde;Musical;Surrealist;Fatma Girik;Sevda Ferdag;Reha Yurdakul;Orçun Sonat;Ahmet Sezerel;Yüksel Gözen;Yavuz Selekman;Ihsan Gedik;Baki Tamer
Hamlet_1983-1,,,,To Be or Not To Be,Mel Brooks,1983,USA,MovingImage,,,Wikipedia,Hamlet;Feature;Loose/Inspired;Drama/Comedy;War;Mel Brooks;Anne Bancroft;Tim Matheson;Charles Durning;José Ferrer;George Gaynes;Christopher Lloyd;George Wyner;Lewis J. Stadlen;Jack Riley
Hamlet_1983-2,,,,Strange Brew,Dave Thomas;Rick Moranis,1983,Canada;USA,MovingImage,,,Wikipedia,Hamlet;Feature;Loose/Inspired;Drama/Comedy;Satire;Dave Thomas;Rick Moranis;Paul Dooley;Max von Sydow;Lynne Griffin
Hamlet_1987,,,,Hamlet Goes Business (Hamlet liikemaailmassa),Aki Kaurismäki,1987,Finland,MovingImage,,,Wikipedia,Hamlet;Feature;Loose/Inspired;Drama/Tragedy;Satire;Modernized;Business;Pirkka-Pekka Petelius;Esko Salminen;Kati Outinen;Elina Salo
Hamlet_1990-3,,,,Rosencrantz & Guildenstern Are Dead,Tom Stoppard,1990,USA,MovingImage,,,Wikipedia,Hamlet;Feature;Loose/Inspired;Tragedy;Comedy;Tragicomedy;Black Comedy;Period;Gary Oldman;Tim Roth;Richard Dreyfuss;Iain Glen;Ian Richardson;Donald Sumpter;Joanna Miles;Joanna Roth
Hamlet_1994-1,,,,Renaissance Man,Penny Marshall,1994,USA,MovingImage,,,Wikipedia,Hamlet;Feature;Loose/Inspired;Drama/Comedy;War;Danny DeVito;Gregory Hines;James Remar;Cliff Robertson;Ed Begley Jr.
Hamlet_1994-2,,,,The Lion King,Roger Allers;Rob Minkoff,1994,USA,MovingImage,,,Wikipedia,Hamlet;Feature;Loose/Inspired;Action/Adventure;Animated;Musical;Jonathan Taylor Thomas;Matthew Broderick;James Earl Jones;Jeremy Irons;Moira Kelly;Niketa Calame;Ernie Sabella;Nathan Lane;Robert Guillaume;Rowan Atkinson;Whoopi Goldberg;Cheech Marin;Jim Cummings;Madge Sinclair
Hamlet_1996-2,,,,In The Bleak Midwinter (A Midwinter’s Tale),Kenneth Branagh,1996,UK,MovingImage,,,Wikipedia,Hamlet;Feature;Loose/Inspired;Drama/Comedy;Romance;Rom-Com;Indie;Richard Briers;Hetta Charnley;Joan Collins;Nicholas Farrell;Mark Hadfield;Gerard Horan;Celia Imrie;Michael;Maloney;Julia Sawalha
Hamlet_1999,,,,Let the Devil Wear Black,Stacy Title,1999,USA,MovingImage,,,Wikipedia,Hamlet;Feature;Loose/Inspired;Drama/Tragedy;Film Noir;Neo-Noir;Modernized;Crime;Thriller;Indie;Randall Batinkoff;Jacqueline Bisset;Maury Chaykin;Philip Baker Hall;Mary-Louise Parker;Jonathan Penner;Norman Reedus;Jamey Sheridan
Hamlet_2006,,,,The Banquet (夜宴 or Legend of the Black Scorpion),Feng Xiaogang,2006,China,MovingImage,,,Wikipedia,Hamlet;Feature;Loose/Inspired;Drama/Tragedy;Action/Adventure;Wuxia;Zhang Ziyi;Ge You;Daniel Wu;Zhou Xun;Huang Xiaoming;Ma Jingwu;Zhou Zhonghe;Zeng Qiusheng
Hamlet_2012,,,,Karmayogi,V. K. Prakash,2012,India,MovingImage,,,Wikipedia,Hamlet;Feature;Loose/Inspired;Drama/Tragedy;Action/Adventure;Thriller;Period;Indrajith;Nithya Menon;Padmini Kolhapure;Saiju Kurup;Ashokan;Thalaivasal Vijay;Manikuttan;Anoop Sankar;Kani Kusruti;M. R. Gopakumar
Hamlet_2014,,,,Haider,Vishal Bhardwaj,2014,India,MovingImage,,,Wikipedia,Hamlet;Feature;Loose/Inspired;Drama/Political;Action/Adventure;Thriller;Modernized;Shahid Kapoor;Tabu;Shraddha Kapoor;Kay Kay Menon;Irrfan Khan;Irrfan Khan;Narendra Jha;Kulbhushan Kharbanda;Lalit Parimoo;Aamir Bashir
Hamlet_2016,,,,Hemanta,Anjan Dutt,2016,India,MovingImage,,,Wikipedia,Hamlet;Feature;Loose/Inspired;Drama/Tragedy;Thriller;Modernized;Parambrata Chatterjee;Jisshu Sengupta;Payel Sarkar;Gargi Roychowdhury;Saswata Chatterjee;Shantilal Mukherjee;Souptik Chakraborty;Subhra Sourav Das
Hamlet_2018-2,,,,Ophelia,Claire McCarthy,2018,UK;USA,MovingImage,,,Wikipedia,Hamlet;Feature;Loose/Inspired;Drama;Romance;Period;Thriller;Modernized;Daisy Ridley;Naomi Watts;Clive Owen;George MacKay;Tom Felton;Devon Terrell;Rupesh Tillu;Devon Terrell;Nathaniel Parker;Dominic Mafham
Hamlet_2019,,,,The Lion King,Jon Favreau,2019,USA,MovingImage,,,Wikipedia,Hamlet;Feature;Loose/Inspired;Action/Adventure;Animated;Musical;Donald Glover;Seth Rogen;Chiwetel Ejiofor;Alfre Woodard;Billy Eichner;John Kani;John Oliver;Beyoncé Knowles-Carter;James Earl Jones;Florence Kasumba;Keegan-Michael Key;Eric André
Hamlet_2022-1,,,,(سنگِ ماہ) Sang-e-Mah,Saife Hassan,2022,Pakistan,MovingImage,,,Wikipedia,Hamlet;Series;Loose/Inspired;Drama/Tragedy;Romance;ModernizedAtif Aslam;Nauman Ijaz;Sania Saeed;Samiya Mumtaz;Omair Rana;Kubra Khan;Zaviyar Nauman Ijaz;Hania Aamir;Najiba Faiz;Nadia Afgan
Hamlet_2022-2,,,,The Northman,Robert Eggers,2022,USA,MovingImage,,,Wikipedia,Hamlet;Feature;Loose/Inspired;Drama/Tragedy;Action/Adventure;Historical Epic;Fantasy;Alexander Skarsgård;Nicole Kidman;Claes Bang;Anya Taylor-Joy;Gustav Lindh;Elliott Rose;Ethan Hawke;Björk;Willem Dafoe
Hamlet_2025-2,,,,Scarlet,Mamoru Hosoda,2025,Japan,MovingImage,,,Wikipedia,Hamlet;Feature;Loose/Inspired;Drama/Tragedy;Action/Adventure;Animated;Anime;Fantasy;Mana Ashida;Masaki Okada;Koji Yakusho; Kōtarō Yoshida;Yutaka Matsushige;Kazuhiro Yamaji;Tokio Emoto;Munetaka Aoki;Shota Sometani;Yuki Saito;Masachika Ichimura
Hamlet_2025-3,,,,Hamnet,Chloé Zhao,2025,UK,MovingImage,,,Wikipedia,Hamlet;Feature;Loose/Inspired;Drama/Tragedy;Period;Jessie Buckley;Paul Mescal;Emily Watson;Joe Alwyn;Jacobi Jupe;Olivia Lynes;Justine Mitchell;David Wilmot;Bodhi Rae Breathnach;Freya Hannan-Mills;James Skinner;Noah Jupe 
